00000000004_0025819_0026242	and then the prophets recorded their history and their prophecies.
00000000004_0044292_0045286	and then the holy writings, poetry and history for a total of eleven books. if you added all those up, you had twenty four books.
00000000004_0054631_0056170	in genesis, we have an account of the creation of the world and how the environment and society and human beings came to be in their present state. we have a ruined natural world after the flood. we have a dysfunctional society.
00000000004_0135638_0137614	in some cases, a book had a name attached to it, but did not read like a new testament book. a lot of uninspired authors tried to gain an audience by putting the name of an apostle on their book. for example, there was a book that was being circulated that was entitled the acts of peter.
00000000004_0141083_0142126	and apparently he said rise up and fly away. and the birds came to life and flew away. in another story, jesus as.
00000000004_0163256_0164089	english is the language of commerce, the language of diplomacy, the language of aviation. it's a common worldwide language.
00000000004_0165323_0165593	was originally written in.
00000000004_0168866_0169776	now with time, the greek was translated into other languages. but these translations were always made from the original.
00000000004_0188598_0190042	this zeal to produce new bible versions in common languages translated directly from the original greek and hebrew was helped along by a new religious movement called the reformation.
00000000004_0213234_0214840	that are in conflict or in question with one another. if there are mistakes, they're usually mistakes of punctuation or the spelling of names or places or locations which are perhaps obscure in the original languages.
00000000004_0235634_0236797	with the substance of the bible. it's unique in its unity. i mean, listen sixty six books written over a period of fifteen hundred years.
00000000004_0266848_0268232	in our next session, we're actually going to look at the focus of the bible. and that's jesus christ himself. so i hope that you'll come back and take the next lesson in the series. until then, god bless you. we'll see you again soon, bye.
00000000027_0019246_0019398	a writer for the politico.
00000000032_0069009_0069198	not in this story.
00000000032_0071434_0071689	he was asking casually.
00000000032_0085820_0086277	i was laughing when i walked into the shop.
00000000032_0090182_0091045	who played my friend?
00000000032_0092911_0093275	i played a game of pool with my friend, did not.
00000000036_0286005_0286248	you was longer when you came on monday.
00000000036_0296579_0296861	cinders. i have a pain.
00000000036_0325689_0325981	can i come in now and again at a time?
00000000036_0327096_0327780	you've got to take it. that's my pride. but i wish you well, cinders.
00000000036_0378454_0378643	oh, are you cinderella?
00000000036_0486807_0487932	cinderella has merely pushed them on with her lovely foot. they are her idea of courtiers and have anxious expressions as if they knew she was watching them.
00000000036_0512781_0513638	the king rises and in stately manner addresses his guests in the words cinderella conceives to be proper to his royal mouth.
00000000036_0538233_0538895	to dainty music. he trips up the line of beauties and pops a tube into each pouting mouth.
00000000036_0665119_0665707	a bit careful about the doing of her hair and the set of her hat. and she had a soft voice.
00000000036_0728942_0729204	are you fond of her? especially when she's bad?
00000000036_0738735_0739216	the matron found a rod the other morning hidden beneath one of the men's mattresses.
00000000036_0822709_0822999	but i remember our policeman.
00000000036_0840277_0840770	i could let you see the word if it's convenient to you to get the letter out of your pocket.
00000000038_0207161_0207589	in terms of educational leave, it came out last year. so we're one year into it.
00000000054_0027973_0028807	i know what it's like to really try to implement this stuff in the real world. i know what it's like to walk into your boss and say, i think we need to tweet.
00000000054_0039224_0040430	and it's predictable. because if you think about the digital epics of marketing, the first one was just getting on the web. so if you were the first business with a website.
00000000054_0104620_0105672	and its analysis that a lot of people don't even bother to do. because it's not easy, it's not intuitive. the tools that make it easy are expensive even today.
00000000054_0158572_0160172	the most powerful content didn't move to the top. the most powerful website did. that's what authority is about. we've got to understand it. it's a subtle idea, but the power of your website contributes.
00000000054_0179529_0180298	how am i going to be different? what makes us different? and where can we maneuver.
00000000061_0297468_0298104	prices we will be ready to pay, or the kind of places we will like to frequently as a shopper, or the kind of.
00000000062_0130254_0130425	limited your own way of thinking.
00000000064_0137184_0137468	the israeli tv program cultural attache.
00000000074_0007690_0008404	you might have in your greenhouse, and uses those photons in conjunction with water to produce.
00000000074_0100706_0101003	ph. and the whole time it entered lower and lower energy states.
00000000081_0105599_0106045	what that means. but it makes you mad. so fuck you. i.
00000000087_0038122_0039183	our progressive administrative simplification policy supports interoperability automation, and establishes the platform for new and future technologies.
00000000087_0058335_0058940	and the communication of why the payment is different from the amount the provider originally billed.
00000000089_0022017_0023018	jump into the history behind the movie to play two truths and a lie. here's how it works. i'll share three things. two of them are true, and one of them is a lie.
00000000089_0168134_0168891	with this new unit. he spent two years in the mountains of ohio, tennessee and kentucky looking for illegal bootleggers.
00000000092_0001627_0001837	fine. thanks. how are you?
00000000092_0108204_0108508	open your mouth and say, ah.
00000000092_0115834_0116111	how about playing basketball after school.
00000000092_0159914_0160086	where's the science museum?
00000000092_0183164_0183388	good. let's go to school.
00000000092_0204746_0205078	wow. i want to make cookies too.
00000000094_0017125_0018079	an alarm, said i, yes, we've had a scare in this part lately. old acton who is one of our county magnates had his house broken into last monday.
00000000094_0019748_0021112	holmes waved away the compliment, though his smile showed that it had pleased him. was there any feature of interest? i fancy not. the thieves ransacked the library and got very little for their pains.
00000000094_0034092_0034490	and stole that very singular collection, said holmes thoughtfully.
00000000094_0037619_0038797	i fancy it's some local practitioner said the colonel in that case. of course, acton's and cunningham's are just the places he would go for, since they are far the largest about here.
00000000094_0042038_0042721	good morning, colonel, said he. i hope i don't intrude. but we hear that mr holmes of baker street is here.
00000000094_0042721_0043595	the colonel waved his hand towards my friend, and the inspector bowed. we thought that perhaps you would care to step across mr holmes.
00000000094_0050671_0051739	beyond the fact that he was a middle sized man and dressed in some dark stuff. we have no personal clue, but we are making energetic inquiries. and if he is a stranger, we shall soon find him out.
00000000094_0051739_0052172	what was this william doing there? did he say anything before he died?
00000000094_0052172_0054050	not a word. he lives at the lodge with his mother. and as he was a very faithful fellow, we imagine that he walked up to the house with the intention of seeing that all was right there. of course, this acton business has put every one on their guard. the robber must have just burst open the door. the lock has been forced when william came upon him.
00000000094_0054430_0056193	she is very old and deaf, and we can get no information from her. the shock has made her half witted. but i understand that she was never very bright. there is one very important circumstance, however, look at this. he took a small piece of torn paper from a note book and spread it out upon his knee.
00000000094_0056193_0057383	this was found between the finger and thumb of the dead man. it appears to be a fragment torn from a larger sheet. you will observe that the hour mentioned upon it is the very time at which the poor fellow met his fate.
00000000094_0058880_0059200	d at quarter to twelve, learn what maybe.
00000000094_0065809_0067785	i'll tell you what, said he. i should like to have a quiet little glance into the details of this case. there is something in it which fascinates me extremely. if you will permit me, colonel, i will leave my friend watson. and you and i will step round with the inspector to test the truth of one or two little fancies of mine. i will be with you again in half an hour.
00000000094_0069071_0069653	to mr cunningham's. yes, sir, what for.
00000000094_0076430_0078096	oh, it is as well to test everything. our inspection was not wasted. we then had an interview with mr cunningham and his son, who were able to point out the exact spot where the murderer had broken through the garden hedge in his flight. that was of great interest naturally.
00000000094_0078871_0079228	and what is the result of your investigations?
00000000094_0085067_0086661	well, well, it was worth thinking over. then there is another obvious point. the note was sent to william. the man who wrote it could not have taken it otherwise. of course, he might have delivered his own message by word of mouth. who brought the note then? or did it come through the post?
00000000094_0086661_0087434	i have made inquiries, said the inspector. william received a letter by the afternoon post yesterday. the envelope was destroyed by him.
00000000094_0088110_0088631	well, here is the lodge. and if you will come up, colonel, i will show you the scene of the crime.
00000000094_0090819_0091112	throw the door open, officer said holmes.
00000000094_0092786_0093144	the ground is very hard, you see, and there are no marks to guide us.
00000000094_0095703_0096703	ah, you must give us a little time, said holmes good humoredly. you'll want it, said young alec cunningham. why, i don't see that we have any clue at all.
00000000094_0096703_0097429	there's only one, answered the inspector. we thought that if we could only find good heavens. mr holmes, what is the matter?
00000000094_0103485_0104555	i fancy that is quite obvious, said mr cunningham gravely. why my son alec had not yet gone to bed, and he would certainly have heard any one moving about.
00000000094_0105038_0105577	which window is that? the last on the left, next my father's.
00000000094_0105577_0107517	both of your lamps were lit. of course, undoubtedly there are some very singular points here, said holmes, smiling. is it not extraordinary that a burglary and a burglar who had had some previous experience should deliberately break into a house at a time when he could see from the lights that two of the family were still afoot?
00000000094_0109645_0111425	it depends on what the things were said. holmes, you must remember that we are dealing with a burglar who is a very peculiar fellow, and who appears to work on lines of his own. look, for example, at the queer lot of things which he took from acton's. what was it? a ball of string, a letter weight. and i don't know what other odds and ends.
00000000094_0112309_0114042	in the first place, said holmes. i should like you to offer a reward coming from yourself. for the officials may take a little time before they would agree upon the sum. and these things cannot be done too promptly. i have jotted down the form here. if you would not mind signing it, fifty pounds was quite enough. i thought.
00000000094_0117967_0119039	he was obviously embarrassed for an instant while the inspector raised his eyebrows and alec cunningham burst into a laugh. the old gentleman corrected the mistake, however, and handed the paper back to holmes.
00000000094_0119548_0121017	holmes put the slip of paper carefully away into his pocket book. and now, said he, it really would be a good thing that we should all go over the house together and make certain that this rather erratic burglar did not after all carry anything away with him.
